4.8608E+01    3.6819E+00    -4.8608E+01   -3.6819E+00   -2.2640E-08   2.2640E-08    2.9118E-08    -2.9118E-08   
4.8562E+01    3.7401E+00    -4.8562E+01   -3.7401E+00   -2.3017E-08   2.3017E-08    2.9089E-08    -2.9089E-08   
4.8515E+01    3.7982E+00    -4.8515E+01   -3.7982E+00   -2.3395E-08   2.3395E-08    2.9060E-08    -2.9060E-08   
4.8468E+01    3.8563E+00    -4.8468E+01   -3.8563E+00   -2.3773E-08   2.3773E-08    2.9030E-08    -2.9030E-08   
4.8420E+01    3.9143E+00    -4.8420E+01   -3.9143E+00   -2.4153E-08   2.4153E-08    2.8999E-08    -2.8999E-08   
4.8372E+01    3.9723E+00    -4.8372E+01   -3.9723E+00   -2.4532E-08   2.4532E-08    2.8968E-08    -2.8968E-08   
4.8322E+01    4.0302E+00    -4.8322E+01   -4.0302E+00   -2.4913E-08   2.4913E-08    2.8937E-08    -2.8937E-08   
4.8272E+01    4.0880E+00    -4.8272E+01   -4.0880E+00   -2.5294E-08   2.5294E-08    2.8905E-08    -2.8905E-08   
4.8221E+01    4.1458E+00    -4.8221E+01   -4.1458E+00   -2.5676E-08   2.5676E-08    2.8872E-08    -2.8872E-08   
4.8169E+01    4.2035E+00    -4.8169E+01   -4.2035E+00   -2.6058E-08   2.6058E-08    2.8839E-08    -2.8839E-08   
4.8117E+01    4.2612E+00    -4.8117E+01   -4.2612E+00   -2.6441E-08   2.6441E-08    2.8805E-08    -2.8805E-08   
4.8064E+01    4.3188E+00    -4.8064E+01   -4.3188E+00   -2.6825E-08   2.6825E-08    2.8771E-08    -2.8771E-08   
4.8010E+01    4.3763E+00    -4.8010E+01   -4.3763E+00   -2.7210E-08   2.7210E-08    2.8736E-08    -2.8736E-08   
4.7955E+01    4.4337E+00    -4.7955E+01   -4.4337E+00   -2.7595E-08   2.7595E-08    2.8701E-08    -2.8701E-08   
4.7899E+01    4.4911E+00    -4.7899E+01   -4.4911E+00   -2.7981E-08   2.7981E-08    2.8665E-08    -2.8665E-08   
4.7843E+01    4.5484E+00    -4.7843E+01   -4.5484E+00   -2.8368E-08   2.8368E-08    2.8629E-08    -2.8629E-08   
4.7786E+01    4.6056E+00    -4.7786E+01   -4.6056E+00   -2.8756E-08   2.8756E-08    2.8591E-08    -2.8591E-08   
4.7728E+01    4.6627E+00    -4.7728E+01   -4.6627E+00   -2.9144E-08   2.9144E-08    2.8554E-08    -2.8554E-08   
4.7669E+01    4.7198E+00    -4.7669E+01   -4.7198E+00   -2.9534E-08   2.9534E-08    2.8515E-08    -2.8515E-08   
4.7610E+01    4.7768E+00    -4.7610E+01   -4.7768E+00   -2.9924E-08   2.9924E-08    2.8477E-08    -2.8477E-08   
4.7549E+01    4.8337E+00    -4.7549E+01   -4.8337E+00   -3.0314E-08   3.0314E-08    2.8437E-08    -2.8437E-08   
4.7488E+01    4.8905E+00    -4.7488E+01   -4.8905E+00   -3.0706E-08   3.0706E-08    2.8397E-08    -2.8397E-08   
4.7427E+01    4.9473E+00    -4.7427E+01   -4.9473E+00   -3.1099E-08   3.1099E-08    2.8356E-08    -2.8356E-08   
4.7364E+01    5.0040E+00    -4.7364E+01   -5.0040E+00   -3.1492E-08   3.1492E-08    2.8315E-08    -2.8315E-08   
4.7301E+01    5.0606E+00    -4.7301E+01   -5.0606E+00   -3.1887E-08   3.1887E-08    2.8273E-08    -2.8273E-08   
4.7236E+01    5.1171E+00    -4.7236E+01   -5.1171E+00   -3.2282E-08   3.2282E-08    2.8231E-08    -2.8231E-08   
4.7171E+01    5.1735E+00    -4.7171E+01   -5.1735E+00   -3.2678E-08   3.2678E-08    2.8187E-08    -2.8187E-08   
4.7106E+01    5.2298E+00    -4.7106E+01   -5.2298E+00   -3.3075E-08   3.3075E-08    2.8144E-08    -2.8144E-08   
4.7039E+01    5.2860E+00    -4.7039E+01   -5.2860E+00   -3.3473E-08   3.3473E-08    2.8099E-08    -2.8099E-08   
4.6972E+01    5.3422E+00    -4.6972E+01   -5.3422E+00   -3.3872E-08   3.3872E-08    2.8054E-08    -2.8054E-08   
4.6904E+01    5.3983E+00    -4.6904E+01   -5.3983E+00   -3.4272E-08   3.4272E-08    2.8008E-08    -2.8008E-08   
4.6835E+01    5.4542E+00    -4.6835E+01   -5.4542E+00   -3.4673E-08   3.4673E-08    2.7962E-08    -2.7962E-08   
4.6765E+01    5.5101E+00    -4.6765E+01   -5.5101E+00   -3.5075E-08   3.5075E-08    2.7915E-08    -2.7915E-08   
4.6694E+01    5.5659E+00    -4.6694E+01   -5.5659E+00   -3.5478E-08   3.5478E-08    2.7867E-08    -2.7867E-08   
4.6623E+01    5.6216E+00    -4.6623E+01   -5.6216E+00   -3.5881E-08   3.5881E-08    2.7819E-08    -2.7819E-08   
4.6551E+01    5.6772E+00    -4.6551E+01   -5.6772E+00   -3.6286E-08   3.6286E-08    2.7769E-08    -2.7769E-08   
4.6478E+01    5.7327E+00    -4.6478E+01   -5.7327E+00   -3.6693E-08   3.6693E-08    2.7720E-08    -2.7720E-08   
4.6404E+01    5.7880E+00    -4.6404E+01   -5.7880E+00   -3.7100E-08   3.7100E-08    2.7669E-08    -2.7669E-08   
4.6330E+01    5.8433E+00    -4.6330E+01   -5.8433E+00   -3.7508E-08   3.7508E-08    2.7618E-08    -2.7618E-08   
4.6254E+01    5.8985E+00    -4.6254E+01   -5.8985E+00   -3.7917E-08   3.7917E-08    2.7566E-08    -2.7566E-08   
4.6178E+01    5.9536E+00    -4.6178E+01   -5.9536E+00   -3.8328E-08   3.8328E-08    2.7513E-08    -2.7513E-08   
4.6101E+01    6.0086E+00    -4.6101E+01   -6.0086E+00   -3.8739E-08   3.8739E-08    2.7460E-08    -2.7460E-08   
4.6023E+01    6.0634E+00    -4.6023E+01   -6.0634E+00   -3.9152E-08   3.9152E-08    2.7406E-08    -2.7406E-08   
4.5944E+01    6.1182E+00    -4.5944E+01   -6.1182E+00   -3.9566E-08   3.9566E-08    2.7351E-08    -2.7351E-08   
4.5865E+01    6.1728E+00    -4.5865E+01   -6.1728E+00   -3.9981E-08   3.9981E-08    2.7296E-08    -2.7296E-08   
4.5784E+01    6.2274E+00    -4.5784E+01   -6.2274E+00   -4.0398E-08   4.0398E-08    2.7239E-08    -2.7239E-08   
4.5703E+01    6.2818E+00    -4.5703E+01   -6.2818E+00   -4.0815E-08   4.0815E-08    2.7182E-08    -2.7182E-08   
